time,n_A+p,n_B,n_AB
93200,0.350,0.112,0.538
93300,0.352,0.118,0.530
93400,0.350,0.130,0.520
93500,0.358,0.120,0.522
93600,0.350,0.126,0.524
93700,0.364,0.134,0.502
93800,0.362,0.148,0.490
93900,0.340,0.128,0.532
94000,0.346,0.130,0.524
94100,0.364,0.124,0.512
94200,0.340,0.120,0.540
94300,0.316,0.140,0.544
94400,0.304,0.124,0.572
94500,0.292,0.136,0.572
94600,0.274,0.122,0.604
94700,0.310,0.128,0.562
94800,0.290,0.148,0.562
94900,0.304,0.160,0.536
95000,0.292,0.160,0.548
95100,0.288,0.174,0.538
95200,0.282,0.174,0.544
95300,0.282,0.186,0.532
95400,0.282,0.174,0.544
95500,0.298,0.178,0.524
95600,0.296,0.174,0.530
95700,0.286,0.182,0.532
95800,0.310,0.186,0.504
95900,0.312,0.194,0.494
96000,0.290,0.208,0.502
96100,0.294,0.174,0.532
96200,0.320,0.186,0.494
96300,0.324,0.174,0.502
96400,0.332,0.192,0.476
96500,0.320,0.200,0.480
96600,0.296,0.186,0.518
96700,0.322,0.186,0.492
96800,0.316,0.176,0.508
96900,0.322,0.166,0.512
97000,0.314,0.166,0.520
97100,0.326,0.156,0.518
97200,0.334,0.158,0.508
97300,0.306,0.154,0.540
97400,0.316,0.138,0.546
97500,0.312,0.134,0.554
97600,0.288,0.116,0.596
97700,0.300,0.140,0.560
97800,0.320,0.132,0.548
97900,0.320,0.154,0.526
98000,0.358,0.148,0.494
98100,0.354,0.152,0.494
98200,0.360,0.132,0.508
98300,0.362,0.124,0.514
98400,0.354,0.118,0.528
98500,0.334,0.122,0.544
98600,0.338,0.128,0.534
98700,0.360,0.154,0.486
98800,0.358,0.168,0.474
98900,0.360,0.198,0.442
99000,0.368,0.174,0.458
99100,0.366,0.182,0.452
99200,0.344,0.164,0.492
99300,0.366,0.148,0.486
99400,0.382,0.134,0.484
99500,0.382,0.108,0.510
99600,0.392,0.114,0.494
99700,0.392,0.112,0.496
99800,0.400,0.106,0.494
99900,0.370,0.138,0.492
100000,0.366,0.130,0.504
